,unit_ID,school,term,url,count,context
422,102298,East Georgia State College,tenure,http://www.ega.edu/hr/,0,NoContext
201,102553,University of Denver,faculty cuts,https://www.dailycamera.com/guest-opinion-jennifer-s-hendricks-cu-boulder-pay-cuts-are-unjust-and-regressive,0,NoContext
202,102553,University of Denver,faculty cuts,https://robertjprince.net/2020/07/22/open-letter-on-contingent-faculty-at-university-of-denver-part-time-and-non-tenured-faculty-are-organizing/,0,NoContext
203,102553,University of Denver,faculty laid off,https://www.du.edu/,0,NoContext
207,102553,University of Denver,offer scholarship,https://liberalarts.du.edu/anthropology/admission-financial-aid/aid-scholarships,0,NoContext
205,102553,University of Denver,faculty laid off,https://career.du.edu/blog/post_tag/jos/page/4/,0,NoContext
206,102553,University of Denver,faculty laid off,https://www.chronicle.com/article/surpluses-replace-deficits-at-university-of-denver/,0,NoContext
208,102553,University of Denver,increase benefits,https://library.du.edu/inclusive-excellence.html,0,NoContext
204,102553,University of Denver,faculty laid off,https://daniels.du.edu/marketing/masters/,0,NoContext
200,102553,University of Denver,faculty cuts,https://alumni.du.edu/news/alums-salon-cuts-hair-grows-confidence-young-girls,0,NoContext
191,102553,University of Denver,reduce benefits,http://giftplanning.du.edu/giftplanning-du/pioneer-legacy-society?fullview=true,0,NoContext
198,102553,University of Denver,faculty cuts,https://denver.cbslocal.com/2020/06/10/university-denver-layoffs-salary-reductions/,0,NoContext
197,102553,University of Denver,faculty cuts,https://www.du.edu/coronavirus,0,NoContext
196,102553,University of Denver,faculty cuts,https://letsgodu.com/2020/06/09/du-reveals-45-million-covid-19-shortfall-begins-wielding-budget-axe/,0,NoContext
195,102553,University of Denver,new scholarships,https://www.du.edu/elc/apply/scholarships,0,NoContext
194,102553,University of Denver,new scholarships,https://morgridge.du.edu/financial-aid/grants-scholarships/,0,NoContext
193,102553,University of Denver,new scholarships,https://www.du.edu/admission-aid/financial-aid-scholarships/graduate-financial-aid/types-aid/grants-scholarships,0,NoContext
192,102553,University of Denver,new scholarships,https://korbel.du.edu/admission-aid/financial-aid/scholarships,0,NoContext
209,102553,University of Denver,increase benefits,https://science.du.edu/research/showcase/increase-student-engagement,0,NoContext
190,102553,University of Denver,reduce benefits,https://socialwork.du.edu/effectiveinterventions,0,NoContext
189,102553,University of Denver,reduce benefits,https://giftplanning.du.edu/charitable-gift-annuities,0,NoContext
199,102553,University of Denver,faculty cuts,https://www.msudenver.edu/coronavirus-update/fy-2020-21-budget-update-050620/,0,NoContext
210,102553,University of Denver,increase benefits,https://www.msudenver.edu/early-bird/2018/07/31-tuition-benefit.shtml,0,NoContext
231,102553,University of Denver,pay cuts,https://connections.cu.edu/stories/leadership-takes-pay-cuts-budget-questions-remain,1," council  staff council  benson               story     april 23, 2020  /   0   as leadership takes pay cuts, budget questions remain  president kennedy updates regents on coronavirus, announces pay r"
212,102553,University of Denver,layoff faculty,https://www.thelayoff.com/university-denver,0,NoContext
188,102553,University of Denver,reduce benefits,https://giftplanning.du.edu/ira-charitable-rollover,0,NoContext
399,102553,University of Denver,suspend retirement contributions,https://www.insidehighered.com/news/2020/03/26/zoombombers-disrupt-online-classes-racist-pornographic-conten?page=845,0,NoContext
398,102553,University of Denver,suspend retirement contributions,https://give.du.edu/,0,NoContext
397,102553,University of Denver,suspend retirement contributions,https://www.denverpost.com/2020/09/30/du-suspends-swimming-diving-athletes-off-campus-party/,0,NoContext
396,102553,University of Denver,suspend retirement contributions,https://petersonrudgersgroup.com/blog/round-up-of-higher-education-financial-planning-related-to-covid-19/,1,"– cuts, layoffs loom as u. of kentucky faces $70m shortfall   university of louisville – furloughs, suspend retirement contributions, pay cuts, hiring freeze, spending reductions   4/21/2020 president"
395,102553,University of Denver,suspend retirement contributions,https://petersonrudgersgroup.com/blog/round-up-of-higher-education-financial-planning-related-to-covid-19/,1,"cers 8-10% salary cut, voluntary staff furloughs/hours reduction, mandatory staff furloughs, reduce/suspend retirement contributions, freeze on tuition, housing, fees; fy21 salaries & hiring freeze; d"
394,102553,University of Denver,suspend retirement contributions,https://petersonrudgersgroup.com/blog/round-up-of-higher-education-financial-planning-related-to-covid-19/,1,"ing positions and programs, dean searches, and how to support students   johns hopkins university – suspend retirement contributions one year, salary & hiring freeze, capital projects pause, president"
393,102553,University of Denver,suspend retirement contributions,https://petersonrudgersgroup.com/blog/round-up-of-higher-education-financial-planning-related-to-covid-19/,1," faculty senate  4/27/2020 — planning for gw’s future in a covid-19 world   georgetown university – suspend retirement contributions fy21, salary cuts volunteered by 54 leaders, voluntary furloughs or"
392,102553,University of Denver,suspend retirement contributions,https://giftplanning.du.edu/cares-act,0,NoContext
211,102553,University of Denver,layoff faculty,https://www.law.du.edu/,0,NoContext
250,102553,University of Denver,salary reductions,https://www.msn.com/en-us/money/news/university-of-denver-announces-layoffs-and-salary-reductions/ar-bb15iw9v,0,NoContext
233,102553,University of Denver,pay cuts,https://www.msudenver.edu/coronavirus-update/covid19-budget-update-042420/,1,"ent, including the assessment of executive compensation, furloughs, voluntary early retirements and pay cuts. as i noted in my last email, university leadership will continue to use an inclusive, anal"
232,102553,University of Denver,pay cuts,https://connections.cu.edu/stories/leadership-takes-pay-cuts-budget-questions-remain,1,"y , staff     in a communication to the cu community on wednesday, president mark kennedy announced pay cuts for himself and other university leaders. the university is forecasting that state revenue "
230,102553,University of Denver,pay cuts,https://library.du.edu/,0,NoContext
218,102553,University of Denver,reduce faculty,https://portfolio.du.edu/dsaitta/page/24214,0,NoContext
217,102553,University of Denver,reduce faculty,https://magazine-archive.du.edu/campus-community/du-reduces-carbon-footprint-27-percent/,0,NoContext
216,102553,University of Denver,reduce faculty,https://jobs.du.edu/cw/en-us/job/493242/manager-of-strategic-sourcing,0,NoContext
215,102553,University of Denver,reduce faculty,https://socialwork.du.edu/,0,NoContext
214,102553,University of Denver,layoff faculty,https://jobs.du.edu/,0,NoContext
213,102553,University of Denver,layoff faculty,https://www.newsbreak.com/colorado/denver/news/0piaqpfv/university-of-denver-announces-38-layoffs-salary-reductions-for-faculty-and-staff,0,NoContext
249,102553,University of Denver,salary reductions,https://www.newsbreak.com/colorado/denver/news/0pixtur8/university-of-denver-announces-layoffs-and-salary-reductions,0,NoContext
187,102553,University of Denver,reduce benefits,https://www.du.edu/human-resources/benefits/index.html,0,NoContext
0,102553,University of Denver,increase pay,S,0,NoContext
44,102553,University of Denver,tenure,https://www.insidehighered.com/news/2015/02/17/new-faculty-model-u-denver-could-be-prototype-reform,1,"rs and adjuncts -- that just didn’t seem sufficient,” reichardt said of the old titles for many non-tenure-track faculty members. “we value their role here, and think they’re highly skilled, great tea"
62,102553,University of Denver,tenure,https://liberalarts.du.edu/resources/facultystaff,1,"'s award for excellence (dafe)   the competitive, donor-funded dean's award for excellence supports tenure-line associate professors working toward promotion to the rank of full professor. faculty mem"
63,102553,University of Denver,tenure,https://jobs.du.edu/en-us/listing/?jobnotfound=true,0,NoContext
64,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1," facebook     twitter     email     copy link url copied!    print        most professors hate post-tenure review. a better approach might look like this.    by audrey williams june    february 11, 20"
65,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1,"emistry at the u. of denver, work with students in the lab. under a new faculty-development policy, tenured professors at denver can adjust their workloads over time to include more teaching, research"
66,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1,"of other colleges seemed to be doing it. the university of denver wondered if it should, too.  post-tenure review had an air of rigor to it. no slackers here! it suggests. never mind that most profess"
67,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1,"ormance.  denver’s board members, and even some deans and professors, feared that not having a post-tenure protocol hurt its reputation. discussion of the idea in the mainstream news media made the is"
68,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1,laurels. but it also wanted to avoid alienating them.                a more upbeat approach to post-tenure review  the university of denver is instituting a program focused not on punitive measures bu
61,102553,University of Denver,tenure,https://liberalarts.du.edu/resources/facultystaff,1,  employee resources    office resources    research resources    forms & policies    committees    tenure & promotion    see all du resources    du staff resources    employee resources    office res
69,102553,University of Denver,tenure,https://www.chronicle.com/article/most-professors-hate-post-tenure-review-a-better-approach-might-look-like-this/,1,"roach      so four years ago, the institution formed a faculty-led committee to determine what post-tenure review might look like. the consensus was to concentrate not on post-tenure review but on cre"
